rate_date,file_path,row_count,currencies
2025-10-29,fx_daily/2025/10/fx_20251029.csv,2,EUR|USD
2025-10-30,fx_daily/2025/10/fx_20251030.csv,2,EUR|USD
2025-10-31,fx_daily/2025/10/fx_20251031.csv,2,EUR|USD
2025-11-03,fx_daily/2025/11/fx_20251103.csv,2,EUR|USD
2025-11-04,fx_daily/2025/11/fx_20251104.csv,2,EUR|USD
2025-11-05,fx_daily/2025/11/fx_20251105.csv,2,EUR|USD
2025-11-06,fx_daily/2025/11/fx_20251106.csv,2,EUR|USD
2025-11-07,fx_daily/2025/11/fx_20251107.csv,2,EUR|USD
2025-11-10,fx_daily/2025/11/fx_20251110.csv,2,EUR|USD
2025-11-11,fx_daily/2025/11/fx_20251111.csv,2,EUR|USD
2025-11-12,fx_daily/2025/11/fx_20251112.csv,2,EUR|USD
2025-11-13,fx_daily/2025/11/fx_20251113.csv,2,EUR|USD
2025-11-14,fx_daily/2025/11/fx_20251114.csv,2,EUR|USD
2025-11-17,fx_daily/2025/11/fx_20251117.csv,2,EUR|USD
2025-11-18,fx_daily/2025/11/fx_20251118.csv,2,EUR|USD
2025-11-19,fx_daily/2025/11/fx_20251119.csv,2,EUR|USD
2025-11-20,fx_daily/2025/11/fx_20251120.csv,2,EUR|USD
2025-11-21,fx_daily/2025/11/fx_20251121.csv,2,EUR|USD
2025-11-24,fx_daily/2025/11/fx_20251124.csv,2,EUR|USD
2025-11-25,fx_daily/2025/11/fx_20251125.csv,2,EUR|USD
2025-11-26,fx_daily/2025/11/fx_20251126.csv,2,EUR|USD
2025-11-27,fx_daily/2025/11/fx_20251127.csv,2,EUR|USD
2025-11-28,fx_daily/2025/11/fx_20251128.csv,2,EUR|USD
2025-12-01,fx_daily/2025/12/fx_20251201.csv,2,EUR|USD
2025-12-02,fx_daily/2025/12/fx_20251202.csv,2,EUR|USD
2025-12-03,fx_daily/2025/12/fx_20251203.csv,2,EUR|USD
2025-12-04,fx_daily/2025/12/fx_20251204.csv,2,EUR|USD
2025-12-08,fx_daily/2025/12/fx_20251208.csv,2,EUR|USD
2025-12-09,fx_daily/2025/12/fx_20251209.csv,2,EUR|USD
2025-12-11,fx_daily/2025/12/fx_20251211.csv,2,EUR|USD
2025-12-12,fx_daily/2025/12/fx_20251212.csv,2,EUR|USD
2025-12-15,fx_daily/2025/12/fx_20251215.csv,2,EUR|USD
2025-12-16,fx_daily/2025/12/fx_20251216.csv,2,EUR|USD
2025-12-17,fx_daily/2025/12/fx_20251217.csv,2,EUR|USD
2025-12-18,fx_daily/2025/12/fx_20251218.csv,2,EUR|USD
2025-12-19,fx_daily/2025/12/fx_20251219.csv,2,EUR|USD
2025-12-22,fx_daily/2025/12/fx_20251222.csv,2,EUR|USD
2025-12-23,fx_daily/2025/12/fx_20251223.csv,2,EUR|USD
2025-12-24,fx_daily/2025/12/fx_20251224.csv,2,EUR|USD
2025-12-25,fx_daily/2025/12/fx_20251225.csv,2,EUR|USD
2025-12-26,fx_daily/2025/12/fx_20251226.csv,2,EUR|USD
2025-12-29,fx_daily/2025/12/fx_20251229.csv,2,EUR|USD
2025-12-30,fx_daily/2025/12/fx_20251230.csv,2,EUR|USD
2026-01-05,fx_daily/2026/01/fx_20260105.csv,2,EUR|USD
2026-01-06,fx_daily/2026/01/fx_20260106.csv,2,EUR|USD
2026-01-07,fx_daily/2026/01/fx_20260107.csv,2,EUR|USD
2026-01-08,fx_daily/2026/01/fx_20260108.csv,2,EUR|USD
2026-01-09,fx_daily/2026/01/fx_20260109.csv,2,EUR|USD
2026-01-12,fx_daily/2026/01/fx_20260112.csv,2,EUR|USD
2026-01-13,fx_daily/2026/01/fx_20260113.csv,2,EUR|USD
2026-01-14,fx_daily/2026/01/fx_20260114.csv,2,EUR|USD
